ID,Test Case Title,Test Case Description,Pre-Action,Test Steps.Action,Post-Action,,,,,
11,VHIL_N600_VehFunc_TSL_HAZARD_SW_Unapplicablity_duringIGNOFF_Urban_DayCondition,Hazard switch un applicability during IGN OFF condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set Hazard_SW_IP=1(ON).
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking
@ 80+/-2 CPM.
 3.2 Right and Left TT's shall blink @ 80+/-2 CPM.
 3.3 Cluster shall send the hazard switch status to smart phone app when BT App is connected
4.Set the IGN to OFF with Ignition_SW_IP = 0 (OFF).
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall be blinking
@ 80+/-2 CPM.
 4.2 Right and Left TT's shall not blink.
 4.3 Cluster shall send the hazard switch status to smart phone app when BT App is connected
5. Set the IGN to ON with Ignition_SW_IP = 1 (ON) & Set Hazard_SW_IP=0(OFF).
 5.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall stop blinking .
 5.2 Right and Left TT's shall not blink.
 5.3 Cluster shall send the hazard switch status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
12,VHIL_N600_VehFunc_TSL_HAZARD_SW_ShortPress_Urban_DayCondition,Switch press of Short for Hazard switch in Urban mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Short press(Greater than 50ms) hazard switch input(Hazard_SW_IP=0).
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall
start blinking (@80+/-2 CPM).
 3.2 Right and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
4. Short press(Greater than 50ms) hazard switch input(Hazard_SW_IP=1)
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL)=OFF(no blinking)
 4.2 Right and Left  Tell Tales shall not blink.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
13,VHIL_N600_VehFunc_TSL_HAZARD_SW_lessthanShortPressTime_Urban_DayCondition,"checking the hazard Switch
functionality with less than
the time of short press in Urban mode and Day condition.","1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Press(less than 50ms) hazard switch input(Hazard_SW_IP=0)
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL)=OFF(no blinking)
 3.2 Right and Left  Tell Tales shall not blink.
 3.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
14,VHIL_N600_VehFunc_TSL_RightTSL_HAZARD_SW_ShortPressTime_Urban_DayCondition,Switch press of Short for Right TSL switch in Urban mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Short Press(Greater than 50ms) Right TSL switch input(Right_Indicator_SW_IP=0).
 3.1 TSL lamps Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
4.Short Press(Greater than 50ms) Right TSL switch input(Right_Indicator_SW_IP=1).
 4.1 TSL lamps Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL's)=OFF(NO BLINKING)
 4.2 Right indicator Tell tale shall not blink.
 4.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
15,VHIL_N600_VehFunc_TSL_LeftTSL_HAZARD_SW_ShortPressTime_Urban_DayCondition,Switch press of Short for Left TSL switch in Urban mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Short Press(Greater than 50ms) Left TSL switch input(Left_Indicator_SW_IP=0).
 3.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected
4.Short Press(Greater than 50ms) Left TSL switch input(Left_Indicator_SW_IP=1).
 4.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's)=OFF(NO BLINKING)
 4.2 Left indicator Tell tale shall not blink.
 4.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
16,VHIL_N600_VehFunc_TSL_RightTSL_HAZARD_SW_LessthanShortPressTime_Urban_DayCondition,"checking the Right TSL Switch
functionality with less than
the time of short press in Urban mode and Day condition.","1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Press(less than 50ms) Right TSL switch input(Right_Indicator_SW_IP=0).
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL)=OFF(no blinking)
 3.2 Right Tell Tale shall not blink.
 3.3 Cluster shall send turn Right indicator status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
17,VHIL_N600_VehFunc_TSL_LeftTSL_HAZARD_SW_LessthanShortPressTime_Urban_DayCondition,"checking the Left TSL Switch
functionality with less than
the time of short press in Urban mode and Day condition.","1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Press(less than 50ms) Left TSL switch input(Left_Indicator_SW_IP=0).
 3.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL)=OFF(no blinking)
 3.2 Left Tell Tale shall not blink.
 3.3 Cluster shall send turn Left indicator status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
18,VHIL_N600_VehFunc_TSL_Cluster_behaviour_DuringBatteryOnOff_Urban_DayCondition,Cluster behaviour when the battery is ON and OFF.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]
4. Battery is connected.","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set Left_Indicator_SW_IP=0(ON).
 3.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected.
4.Perform Power/Battery OFF.
 4.1 In Cluster, TSL Indicators Shall be OFF.
5. Perform Power/Battery ON and IGN On as well
 5.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall not start blinking(@80+/-2 CPM) since its virtual IGN Config
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
6.Perform Power/Battery OFF.
 6.1 In Cluster, TSL Indicators Shall be OFF.
7.Set  Right_Indicator_SW_IP=0(ON).
 7.1 Indicators will not blink(because the battery is disconnected).
8. Perform Power/Battery ON and IGN On as well1. Cluster HMI shall be working in Light mode (white Colour background)
 8.1 TSL lamps Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) shall start blinking(@80+/-2 CPM).
 8.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 8.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,NotFeasible
19,VHIL_N600_VehFunc_TSL_Cluster_Indicators_wrtIGN_Urban_DayCondition,Cluster and indicators behaviour with respect to IGNITION Urban_DayCondition,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set  Left_Indicator_SW_IP=0(ON).
 3.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP (LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected.
4. Set the IGN to OFF with Ignition_SW_IP = 0 (OFF).
 4.1 In Cluster, TSL Indicators Shall be OFF.
5. Turn Ignition ON.[Ignition_SW_IP= 1]
 5.1 TSL lamps Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
6. Set the IGN to OFF with Ignition_SW_IP = 0 (OFF).
 6.1 In Cluster, TSL Indicators Shall be OFF.
7.Set  Right_Indicator_SW_IP=0(ON).
 7.1 Indicators will not blink(because the IGN is OFF).
8. Turn Ignition ON.[Ignition_SW_IP= 1]
 8.1 TSL lamps Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) shall start blinking(@80+/-2 CPM).
 8.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 8.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
20,VHIL_N600_VehFunc_TSL_Cluster_Telltale_TSL_AutoCancellation_byTimeout_Urban_DayCondition,Check the cluster TT and TSL for AUTO cancellation by timeout during Urban_DayCondition,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]
4. Battery is connected.","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set  Left_Indicator_SW_IP=0(ON).
 3.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected.
4.Simulate ACC_PEDAL_IP = 26% to acheive [ENGINE_RPM[0x150] = 5200 RPM]
 4.1 In Cluster, TSL Indicators Shall be OFF.
5.Simulate Gear_Position_Sensor_IP = 2nd [GEAR_POSITION[0x150] =  0x4]
 5.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
6.Set  Left_Indicator_SW_IP=1(ON).
 6.1 In Cluster, TSL Indicators Shall be ON.
7.Set  Right_Indicator_SW_IP=1(ON).
 7.1 Indicators will not blink(because the battery is disconnected).
8. Perform Power/Battery ON and Do IGN ON as well
 8.1 TSL lamps-Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall not start blinking(@80+/-2 CPM) since its virtual IGN Config
 8.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 8.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
9. wait untill for timeout
 9.1 TSL lamps - Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall stop blinking.
 9.2 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
21,VHIL_N600_VehFunc_TSL_Cluster_Telltale_TSL_AutoCancellation_byDistance200m_Urban_DayCondition,Check the cluster TT and TSL for AUTO cancellation during Urban_DayCondition,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]
4. Battery is connected.","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set  Left_Indicator_SW_IP=0(ON).
 3.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected.
4.Simulate ACC_PEDAL_IP = 26% to acheive [ENGINE_RPM[0x150] = 5200 RPM]
 4.1 In Cluster, Indicators shall OFF.
5.Simulate Gear_Position_Sensor_IP = 2nd [GEAR_POSITION[0x150] =  0x4]
 5.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
6.Set  Left_Indicator_SW_IP=1(ON).
 6.1 In Cluster, TSL Indicators Shall be ON.
7.Set  Right_Indicator_SW_IP=1(ON).
 7.1 Indicators will not blink(because the battery is disconnected).
8. Perform Power/Battery ON and Do IGN ON as well
 8.1 TSL lamps-Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall not start blinking(@80+/-2 CPM) since its virtual IGN Config
 8.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 8.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
9. wait and ride the vehicle to reach 200m
 9.1 TSL lamps - Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall stop blinking.
 9.2 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
22,VHIL_N600_VehFunc_TSL_LeftTSL_Blinking_Urban_NightCondition,To check Left TSL blinking with and without fault condition in Urban  Mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Dark and Dark mode-> Select ""Dark""(Via Control switches 1 to 4
 1.1 Cluster HMI shall be working in Dark mode (White colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4)
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Left_Indicator_SW_IP=1.(Left Indicator Switch ON)
 3.1 TSL lamps-Left_RR_Indicator_OP shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
4. Disconnect Left_RR_Indicator_OP(Rear Left TSL) wiring and connect after observing the output
 4.1 Left_FR_Indicator_OP(front Left TSL) shall start blinking(@120+/-2 CPM).
 4.2 Left indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 4.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
 4.4 TSL should work Normaly ones fault is removed
5. Disconnect Left_FR_Indicator_OP(front Left TSL) wiring and connect after observing the output. 
 5.1 Left_RR_Indicator_OP(Rear Left TSL) shall start blinking(@120+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
 5.4 TSL should work Normaly ones fault is removed","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
23,VHIL_N600_VehFunc_TSL_RightTSL_Blinking_Urban_NightCondition,To check Right TSL blinking with and without fault condition in Urban Mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Dark and Dark mode-> Select ""Dark""(Via Control switches 1 to 4
 1.1 Cluster HMI shall be working in Dark mode (White colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4)
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Right_Indicator_SW_IP=1.(Right Indicator Switch ON)
 3.1 TSL lamps-Right_RR_Indicator_OP shall start blinking(@80+/-2 CPM).
 3.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
4. Disconnect Right_RR_Indicator_OP(Rear Right TSL) wiring and connect after observing the output
 4.1 Right_FR_Indicator_OP(front Right TSL) shall start blinking(@120+/-2 CPM).
 4.2 Right indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 4.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
 4.4 TSL should work Normaly ones fault is removed
5. Disconnect Right_FR_Indicator_OP(front Right TSL) wiring and connect after observing the output. 
 5.1 Right_RR_Indicator_OP(Rear Right TSL) shall start blinking(@120+/-2 CPM).
 5.2 Right indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 5.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
 5.4 TSL should work Normaly ones fault is removed","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
24,VHIL_N600_VehFunc_TSL_HAZARD_SW_Check_in_Urban_Night Condition,TSL status with reference to Hazard switch check in urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1. Go to->Menu->Display Setup->Dark and Dark mode-> Select ""Dark""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Dark mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Hazard_SW_IP=1(ON)
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) & Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall
start blinking (@80+/-2 CPM).
 3.2 Right and Left Tell Tales shall blink in cluster at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
25,VHIL_N600_VehFunc_TSL_LeftToHazardSW_Urban_NightCondition,left Indicator to Hazard switch interface in Urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Dark and Dark mode-> Select ""Dark""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Dark mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Left_Indicator_SW_IP=1  (Left Indicator Switch ON).
 3.1 TSL lamps -  Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected.
4. Set Hazard_SW_IP=0.(ON)
 4.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL) & Right_RR_Indicator_OP & Right_FR_Indicator_OP(LEFT TSL) shall start blinking(Flash @80+/-2 CPM).
 4.2 Left and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5. Set Hazard_SW_IP=1.(OFF).
 5.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's) shall start blinking(@80+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
26,VHIL_N600_VehFunc_TSL_RightToHazardSW_Urban_NightCondition,Right Indicator to Hazard switch interface in Urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Dark and Dark mode-> Select ""Dark""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Dark mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Right_Indicator_SW_IP=1  (Right Indicator Switch ON).
 3.1 TSL lamps -  Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected.
4. Set Hazard_SW_IP=0.(ON)
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(Flash @80+/-2 CPM).
 4.2 Right and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5. Set Hazard_SW_IP=1.(OFF).
 5.1 Right_RR_Indicator_OP&Right_FR_Indicator_OP(RIGHT TSL's) shall start blinking(@80+/-2 CPM).
 5.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
